sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
0,0.003391,5.713,4.604,0.083,0.826,0.2
1,0.011528,5.906,4.584,0.09,1.036,0.196
2,0.020143,5.625,4.614,0.094,0.734,0.183
3,0.028112,5.985,4.599,0.077,1.123,0.186
4,0.037374,5.689,4.598,0.09,0.814,0.187
5,0.044706,6.679,4.486,0.142,1.787,0.264
6,0.053524,6.214,4.49,0.096,1.436,0.192
7,0.063397,5.507,4.563,0.075,0.637,0.232
8,0.072013,5.551,4.531,0.088,0.73,0.202
9,0.08008,5.786,4.497,0.074,1.022,0.193
10,0.088582,5.605,4.483,0.072,0.852,0.198
11,0.096987,5.54,4.522,0.089,0.749,0.18
12,0.105162,5.676,4.487,0.084,0.923,0.182
13,0.113736,5.456,4.469,0.094,0.712,0.181
14,0.122261,5.476,4.501,0.078,0.658,0.239
15,0.132375,5.541,4.617,0.069,0.632,0.223
16,0.141058,5.47,4.497,0.096,0.673,0.204
17,0.151116,5.598,4.603,0.083,0.721,0.191
18,0.159123,5.953,4.488,0.24,1.039,0.186
19,0.167566,5.828,4.435,0.144,1.031,0.218
20,0.176269,5.718,4.485,0.143,0.798,0.292
21,0.184613,5.734,4.533,0.095,0.775,0.331
22,0.193332,6.146,4.578,0.224,1.009,0.335
23,0.201314,6.43,4.609,0.13,1.43,0.261
24,0.209532,6.508,4.573,0.094,1.6,0.241
25,0.217801,6.566,4.573,0.102,1.657,0.234
26,0.226471,6.236,4.571,0.155,1.26,0.25
27,0.234366,6.662,4.617,0.102,1.712,0.231
28,0.243055,6.366,4.581,0.265,1.251,0.269
29,0.252987,5.836,4.585,0.15,0.84,0.261
30,0.261425,5.844,4.524,0.154,0.864,0.302
31,0.270356,5.916,4.565,0.148,0.78,0.423
32,0.278141,6.35,4.579,0.153,1.34,0.278
33,0.287476,5.749,4.528,0.152,0.811,0.258
34,0.294961,6.688,4.575,0.145,1.63,0.338
35,0.30351,6.501,4.526,0.177,1.408,0.39
36,0.312072,6.287,4.555,0.145,1.179,0.408
