sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
0,0.007541,9.321,4.626,2.066,1.064,1.565
1,0.015888,9.131,4.606,3.703,0.645,0.177
2,0.02453,9.015,4.505,3.48,0.664,0.366
3,0.03412,8.649,4.563,3.031,0.65,0.405
4,0.042704,8.726,4.632,3.214,0.709,0.171
5,0.050846,8.914,4.693,2.398,0.873,0.95
6,0.059334,8.774,4.624,2.899,0.789,0.462
7,0.067421,8.987,4.529,3.649,0.663,0.146
8,0.076409,8.656,4.598,2.885,0.603,0.57
9,0.084261,9.018,4.64,3.56,0.655,0.163
10,0.094715,9.213,4.664,3.641,0.747,0.161
11,0.103299,8.976,4.557,3.588,0.65,0.181
12,0.111602,8.991,4.691,2.146,0.959,1.195
13,0.119505,9.399,4.634,2.803,1.443,0.519
14,0.128065,9.158,4.616,3.187,1.225,0.13
15,0.136363,9.258,4.609,3.54,0.911,0.198
16,0.144692,9.286,4.675,3.144,1.221,0.246
17,0.15336,8.907,4.565,2.172,0.995,1.175
18,0.163596,8.984,4.638,3.531,0.654,0.161
19,0.171902,9.015,4.908,3.084,0.773,0.25
20,0.180858,9.666,4.692,4.091,0.689,0.194
21,0.188591,10.357,5.144,2.156,1.753,1.304
22,0.196874,10.307,4.562,3.368,2.192,0.185
23,0.205082,10.423,4.663,3.063,2.41,0.287
24,0.215771,8.692,4.664,3.131,0.67,0.227
25,0.22595,8.847,4.637,3.205,0.691,0.314
26,0.234133,8.851,4.631,3.179,0.874,0.167
27,0.242664,8.732,4.509,3.395,0.651,0.177
28,0.250708,9.0,4.716,3.346,0.787,0.151
29,0.259141,8.971,4.572,3.002,1.001,0.396
30,0.267556,8.85,4.669,3.289,0.704,0.188
31,0.276176,8.738,4.631,3.065,0.605,0.437
32,0.28428,8.85,4.509,3.098,0.959,0.284
33,0.292963,8.826,4.604,3.221,0.65,0.351
34,0.30104,8.96,4.604,2.193,0.952,1.211
35,0.309498,9.161,4.669,3.521,0.689,0.282
36,0.317458,9.559,4.806,2.157,1.283,1.313
37,0.326056,9.155,4.602,2.134,1.228,1.191
38,0.334609,9.272,4.58,3.763,0.743,0.186
39,0.344596,9.551,4.592,3.987,0.722,0.25
40,0.353091,9.514,4.724,3.131,1.25,0.409
41,0.361596,9.146,4.655,3.519,0.801,0.171
42,0.369631,9.522,4.838,2.13,1.268,1.286
43,0.377758,9.632,4.67,3.34,1.469,0.153
44,0.386422,9.313,4.607,2.853,1.359,0.494
45,0.394887,9.362,4.676,3.807,0.685,0.194
46,0.404998,8.668,4.604,3.231,0.651,0.182
47,0.413571,8.732,4.592,3.316,0.658,0.166
48,0.421915,8.749,4.636,2.123,0.724,1.266
49,0.430547,8.918,4.617,3.36,0.644,0.297
50,0.438764,9.058,4.61,2.202,0.936,1.31
51,0.44642,9.617,4.63,3.639,1.142,0.206
52,0.455212,9.291,4.729,3.645,0.72,0.197
53,0.46386,9.125,4.813,3.221,0.755,0.336
54,0.474305,8.979,4.602,3.528,0.662,0.187
55,0.484264,9.032,4.599,3.462,0.677,0.294
56,0.492619,9.83,4.679,4.084,0.757,0.31
57,0.501031,10.535,5.055,4.199,0.793,0.488
58,0.509187,10.541,5.167,3.158,1.866,0.35
59,0.517556,10.477,4.803,2.45,2.201,1.023
60,0.525953,10.278,4.605,3.228,2.307,0.138
61,0.534086,10.486,4.494,2.12,2.645,1.227
62,0.542556,10.363,4.623,3.452,2.13,0.158
63,0.551235,10.007,4.582,3.082,2.076,0.267
64,0.55958,9.979,4.59,3.514,1.74,0.135
65,0.568213,9.72,4.639,3.543,1.364,0.174
66,0.576321,10.06,4.64,2.132,1.925,1.363
67,0.584375,10.218,4.59,3.592,1.864,0.172
68,0.592927,9.989,4.552,3.188,2.074,0.175
69,0.60303,9.162,4.579,3.633,0.779,0.171
70,0.61132,9.175,4.598,2.934,1.234,0.409
71,0.619629,9.218,4.614,3.391,1.049,0.164
72,0.628128,9.072,4.592,3.086,1.099,0.295
73,0.636323,9.214,4.504,2.959,1.326,0.425
74,0.645031,8.833,4.606,3.258,0.792,0.177
75,0.653202,8.981,4.635,2.995,0.987,0.364
76,0.663855,8.852,4.622,3.273,0.661,0.296
77,0.671813,9.157,4.971,3.07,0.755,0.361
78,0.68038,8.934,4.604,3.545,0.657,0.128
79,0.688339,9.406,4.86,2.064,1.119,1.363
80,0.696702,9.337,4.615,3.485,1.044,0.193
81,0.705339,9.037,4.586,2.961,1.06,0.43
82,0.715892,8.866,4.616,3.115,0.763,0.372
83,0.725861,9.046,4.6,3.669,0.574,0.203
84,0.734172,9.109,4.767,2.962,0.889,0.491
85,0.74238,9.186,4.721,2.287,1.049,1.129
86,0.750689,9.2,4.618,2.136,1.193,1.253
87,0.75914,9.167,4.614,3.69,0.657,0.206
88,0.76749,9.228,4.687,2.153,1.079,1.309
89,0.776002,8.957,4.557,2.03,1.03,1.34
90,0.78475,8.887,4.61,3.272,0.811,0.194
91,0.79278,9.567,4.984,3.718,0.691,0.174
92,0.801307,9.877,4.919,3.998,0.646,0.314
93,0.80968,9.934,5.166,3.055,1.162,0.551
94,0.817624,10.18,4.909,2.443,1.81,1.018
95,0.826181,9.872,4.632,2.91,1.873,0.457
96,0.834575,9.773,4.631,3.32,1.678,0.144
97,0.844239,8.581,4.609,2.96,0.637,0.375
98,0.853319,8.773,4.592,3.071,0.826,0.284
99,0.861588,8.811,4.476,2.204,1.007,1.124
100,0.869608,9.18,4.525,3.344,1.095,0.216
101,0.878837,9.977,4.557,4.093,0.823,0.504
102,0.887567,10.221,4.752,3.574,0.76,1.135
103,0.895572,10.422,4.832,2.058,1.402,2.13
104,0.903606,10.151,4.596,3.91,1.211,0.434
105,0.913596,9.318,4.615,3.397,0.88,0.426
106,0.922052,9.209,4.646,3.194,0.938,0.431
107,0.930728,9.277,4.5,3.552,0.781,0.444
108,0.93871,9.739,4.944,2.13,1.078,1.587
109,0.947185,9.428,4.52,3.096,1.359,0.453
110,0.955739,9.264,4.576,3.271,0.983,0.434
111,0.965846,9.211,4.604,3.467,0.652,0.488
112,0.976051,8.896,4.609,3.276,0.578,0.433
113,0.984189,9.048,4.582,3.044,0.894,0.528
114,0.992631,9.097,4.587,3.436,0.686,0.388
115,1.001244,8.836,4.591,3.072,0.644,0.529
116,1.009315,9.062,4.479,3.062,1.02,0.501
117,1.018052,8.903,4.598,3.219,0.694,0.392
118,1.026545,9.027,4.596,3.449,0.614,0.368
