sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
0,0.00546,8.275,4.651,1.656,1.479,0.489
1,0.01615,8.132,4.595,1.712,1.268,0.557
2,0.02632,8.957,4.634,2.441,1.411,0.471
3,0.034745,9.18,4.696,1.772,1.938,0.774
4,0.042705,9.212,4.608,1.893,2.295,0.416
5,0.050788,9.401,4.617,1.722,2.716,0.346
6,0.059594,9.222,4.653,2.264,1.616,0.689
7,0.06807,9.246,4.53,1.468,2.424,0.824
8,0.076025,9.204,4.589,2.186,2.006,0.423
9,0.085088,9.075,4.604,2.297,1.274,0.9
10,0.093088,8.972,4.555,1.935,2.02,0.462
11,0.102062,8.836,4.604,2.136,1.3,0.796
12,0.110015,8.985,4.541,2.083,1.796,0.565
13,0.117839,9.239,4.648,2.08,2.203,0.308
14,0.126153,9.244,4.665,1.895,2.402,0.282
15,0.136203,7.76,4.61,1.955,0.937,0.258
16,0.14461,7.67,4.512,1.856,1.07,0.232
17,0.152759,7.807,4.5,1.984,1.14,0.183
18,0.161776,7.956,4.565,2.183,1.02,0.188
19,0.169676,8.411,4.498,1.332,2.397,0.184
20,0.178677,8.054,4.558,2.093,1.102,0.301
21,0.186662,8.376,4.569,2.017,1.524,0.266
22,0.19669,7.749,4.686,1.914,0.916,0.233
23,0.204832,7.943,4.509,1.982,1.217,0.235
24,0.213253,7.831,4.504,1.954,1.16,0.213
25,0.221959,7.693,4.559,1.962,0.965,0.207
26,0.229844,8.151,4.541,2.03,1.371,0.209
27,0.238258,8.078,4.543,1.83,1.478,0.227
28,0.246541,8.111,4.574,1.965,1.379,0.193
29,0.255517,7.539,4.57,1.818,0.963,0.188
30,0.26387,7.585,4.597,1.938,0.803,0.247
31,0.27392,7.199,4.625,1.408,0.945,0.221
32,0.283943,7.579,4.655,1.735,1.026,0.163
33,0.292595,7.775,4.549,1.736,1.298,0.192
34,0.30076,8.035,4.641,1.734,1.383,0.277
