sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
0,0.0053,3.778,2.339,0.062,1.13,0.247
1,0.013573,3.79,2.385,0.095,1.144,0.166
2,0.021847,3.844,2.361,0.066,1.225,0.192
3,0.030709,3.335,2.393,0.061,0.663,0.218
4,0.03916,4.554,2.398,0.091,0.837,1.228
5,0.046852,5.243,2.353,0.084,0.878,1.928
6,0.055397,5.066,2.401,0.065,0.879,1.721
7,0.063589,5.179,2.396,0.082,0.875,1.826
8,0.072196,4.907,2.38,0.075,0.881,1.571
9,0.082216,5.201,2.373,0.079,0.777,1.972
10,0.090673,5.063,2.385,0.082,0.775,1.821
11,0.09915,4.949,2.354,0.086,0.778,1.731
12,0.107397,5.063,2.387,0.075,0.801,1.8
13,0.115838,4.932,2.346,0.087,0.801,1.698
14,0.124406,4.772,2.375,0.08,0.875,1.442
15,0.132823,4.693,2.343,0.072,0.874,1.404
16,0.143219,3.426,2.365,0.083,0.796,0.182
17,0.15114,4.878,2.376,0.061,0.611,1.83
18,0.159753,4.765,2.36,0.071,0.799,1.535
19,0.168174,4.696,2.373,0.113,0.817,1.393
20,0.176126,5.091,2.347,0.064,0.827,1.853
21,0.184603,4.962,2.376,0.088,0.864,1.634
22,0.192791,5.247,2.392,0.1,0.912,1.843
23,0.201358,4.961,2.369,0.075,0.913,1.604
24,0.211776,3.392,2.341,0.058,0.786,0.207
25,0.222125,3.405,2.345,0.078,0.78,0.202
26,0.230227,3.6,2.379,0.087,0.977,0.157
27,0.238917,3.648,2.364,0.069,0.764,0.451
28,0.246894,3.884,2.33,0.073,1.157,0.324
29,0.25515,3.923,2.367,0.09,1.198,0.268
30,0.263769,4.996,2.345,0.088,0.806,1.757
31,0.271894,5.173,2.36,0.078,0.803,1.932
32,0.280707,4.719,2.395,0.071,0.8,1.453
33,0.288959,4.802,2.323,0.062,0.805,1.612
34,0.297373,4.735,2.374,0.089,0.822,1.45
35,0.305323,5.122,2.353,0.078,0.822,1.869
36,0.313878,4.956,2.338,0.076,0.873,1.669
37,0.322188,4.984,2.377,0.083,0.881,1.643
38,0.330677,4.803,2.396,0.06,0.879,1.468
39,0.340696,3.476,2.372,0.069,0.781,0.254
40,0.348967,3.516,2.346,0.06,0.871,0.239
41,0.357409,5.161,2.396,0.082,0.907,1.776
42,0.366156,4.775,2.386,0.079,0.907,1.403
43,0.374127,5.122,2.393,0.088,0.892,1.749
44,0.382938,4.669,2.349,0.091,0.897,1.332
45,0.39305,3.595,2.389,0.152,0.826,0.228
46,0.401172,3.834,2.362,0.084,1.132,0.256
47,0.409665,3.636,2.366,0.085,0.963,0.222
48,0.417703,3.923,2.381,0.076,1.247,0.219
49,0.426361,3.58,2.34,0.09,0.964,0.186
50,0.434371,3.931,2.378,0.113,1.228,0.212
51,0.442941,3.733,2.337,0.084,1.055,0.257
52,0.451593,4.622,2.398,0.096,0.776,1.352
